6,12
30,60
660,1320
810,1620
2130,4260
2550,5100
3330,6660
3390,6780
5850,11700
6270,12540
10530,21060
33180,66360
41610,83220
44130,88260
53550,107100
55440,110880
57330,114660
63840,127680
65100,130200
70380,140760
70980,141960
72270,144540
74100,148200
74760,149520
78780,157560
80670,161340
81930,163860
87540,175080
93240,186480
102300,204600
115470,230940
124770,249540
133980,267960
136950,273900
156420,312840
161460,322920
168450,336900
183510,367020
184830,369660
196770,393540
211050,422100
211890,423780
220470,440940
224070,448140
233940,467880
237690,475380
241050,482100
245520,491040
248640,497280
253680,507360
259380,518760
260010,520020
260190,520380
262110,524220
270270,540540
278880,557760
288990,577980
290040,580080
294180,588360
313740,627480
314400,628800
315450,630900
316470,632940
326940,653880
330330,660660
342060,684120
347130,694260
355110,710220
357240,714480
380310,760620
385590,771180
388110,776220
391890,783780
404010,808020
409290,818580
410340,820680
418350,836700
420420,840840
421080,842160
422100,844200
422310,844620
429900,859800
444180,888360
453570,907140
464280,928560
464310,928620
480060,960120
489960,979920
492060,984120
496890,993780
497280,994560
507360,1014720
507780,1015560
514050,1028100
515370,1030740
521880,1043760
532950,1065900
538200,1076400
538650,1077300
564300,1128600
575370,1150740
586980,1173960
591600,1183200
605640,1211280
623880,1247760
631470,1262940
663600,1327200
686040,1372080
690720,1381440
696990,1393980
701400,1402800
707670,1415340
715440,1430880
730590,1461180
735420,1470840
737130,1474260
745710,1491420
758970,1517940
770310,1540620
777390,1554780
789000,1578000
793980,1587960
818820,1637640
819030,1638060
820680,1641360
834150,1668300
836190,1672380
840180,1680360
875520,1751040
876720,1753440
879270,1758540
882450,1764900
883230,1766460
897780,1795560
903450,1806900
910140,1820280
911160,1822320
929640,1859280
933000,1866000
967260,1934520
986190,1972380
988860,1977720
990330,1980660
996630,1993260
